date,open,high,low,close,volume,open_interest,exchange,interval,symbol,accumulative_adjust
2018-01-30,-7.47000000000004,-7.09000000000005,-8.61000000000004,-8.32000000000004,526892,0,Exchange.NYMEX,Interval.MINUTE,CLH18,72.28
2018-01-31,-8.32000000000004,-7.28000000000004,-8.44000000000004,-7.43000000000005,498993,0,Exchange.NYMEX,Interval.MINUTE,CLH18,72.28
2018-02-01,-7.43000000000005,-5.98000000000005,-7.65000000000005,-6.20000000000005,516989,0,Exchange.NYMEX,Interval.MINUTE,CLH18,72.28
2018-02-02,-6.20000000000005,-6.03000000000004,-7.81000000000005,-7.22000000000004,571590,0,Exchange.NYMEX,Interval.MINUTE,CLH18,72.28
2018-02-04,-7.18000000000005,-7.18000000000005,-7.66000000000004,-7.50000000000004,35691,0,Exchange.NYMEX,Interval.MINUTE,CLH18,72.28
2018-02-05,-7.49000000000004,-6.88000000000004,-8.99000000000004,-8.94000000000004,658494,0,Exchange.NYMEX,Interval.MINUTE,CLH18,72.28
2018-02-06,-8.94000000000004,-7.99000000000004,-9.16000000000005,-8.32000000000004,606883,0,Exchange.NYMEX,Interval.MINUTE,CLH18,72.28
2018-02-07,-8.31000000000005,-8.30000000000005,-11.03,-10.83,765100,0,Exchange.NYMEX,Interval.MINUTE,CLH18,72.28
2018-02-08,-10.83,-10.19,-12.01,-11.75,639338,0,Exchange.NYMEX,Interval.MINUTE,CLH18,72.28
2018-02-09,-11.75,-11.51,-14.21,-13.23,699284,0,Exchange.NYMEX,Interval.MINUTE,CLH18,72.28
2018-02-11,-13.16,-12.29,-13.18,-12.44,36162,0,Exchange.NYMEX,Interval.MINUTE,CLH18,72.28
2018-02-12,-12.44,-11.45,-13.07,-12.67,535167,0,Exchange.NYMEX,Interval.MINUTE,CLH18,72.28
2018-02-13,-12.67,-12.56,-13.89,-13.12,428341,0,Exchange.NYMEX,Interval.MINUTE,CLH18,72.28
2018-02-14,-13.12,-10.87,-14.08,-11,467150,0,Exchange.NYMEX,Interval.MINUTE,CLH18,72.28
2018-02-15,-11,-10.46,-12.56,-10.58,205442,0,Exchange.NYMEX,Interval.MINUTE,CLH18,72.28
2018-02-16,-10.58,-10.28,-11.39,-10.64,352222,0,Exchange.NYMEX,Interval.MINUTE,CLJ18,72.15
2018-02-18,-10.64,-9.76000000000003,-10.66,-9.80000000000003,37064,0,Exchange.NYMEX,Interval.MINUTE,CLJ18,72.15
2018-02-19,-9.80000000000003,-9.50000000000004,-10.25,-9.87000000000003,182881,0,Exchange.NYMEX,Interval.MINUTE,CLJ18,72.15
2018-02-20,-9.87000000000003,-9.72000000000003,-11.11,-11.1,430666,0,Exchange.NYMEX,Interval.MINUTE,CLJ18,72.15
2018-02-21,-11.1,-10.29,-11.4,-11.11,375206,0,Exchange.NYMEX,Interval.MINUTE,CLJ18,72.15
2018-02-22,-11.12,-9.06000000000003,-11.18,-9.41000000000003,472471,0,Exchange.NYMEX,Interval.MINUTE,CLJ18,72.15
2018-02-23,-9.41000000000003,-8.42000000000004,-9.82000000000004,-8.58000000000003,347771,0,Exchange.NYMEX,Interval.MINUTE,CLJ18,72.15
2018-02-25,-8.55000000000003,-8.25000000000004,-8.72000000000003,-8.38000000000003,37859,0,Exchange.NYMEX,Interval.MINUTE,CLJ18,72.15
